Set,RI1,RI2,RI3,RI4,RI5,RI6,RI7,RI8,RI9,RI10,RI11,RI12,RI13,RI14,RI15,RI16
190118S_LCA4_X_FP91AK,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AL,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AM,carrier_mix,norm,unused,sc_m0,sc_0,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AN,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_u,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AO,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AP,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_0,sc_u,sc_u,sc_u,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BB,carrier_mix,norm,unused,sc_m0,sc_u,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BC,carrier_mix,norm,unused,sc_0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BD,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BE,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BF,carrier_mix,norm,unused,sc_m0,sc_0,sc_m0,sc_0,sc_m0,sc_m0,sc_0,sc_0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BG,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BH,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BJ,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91BK,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP81AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_0,sc_u,sc_u,sc_u,sc_m0,unused,unused,unused,unused,unused
